Prénom;Nom;OU;id;mail;nom_prenom;pwd;
Matthew;Bryan;GMP_BUT_1;mabryan;mabryan@beg.priv;Matthew Bryan;xXu7$D*%L2CT%;Il y a un caractère spécial
Ashley;Mcdonald;GMP_BUT_1;asmcdonald;asmcdonald@beg.priv;Ashley Mcdonald;dAcdoM#2qWz5!;Il y a un caractère spécial
Michael;Cross;QLI_BUT_1;micross;micross@beg.priv;Michael Cross;3F@VxNVQ%3fEU;Il y a un caractère spécial
Mario;Johnson;GMP_BUT_1;majohnson;majohnson@beg.priv;Mario Johnson;vsypH$JYduACB;Il y a un caractère spécial
Brittany;Martinez;GTE_BUT_3;brmartinez;brmartinez@beg.priv;Brittany Martinez;*7y%dfFl*v!Xe;Il y a un caractère spécial
Christina;Fuller;CHI_BUT_2;chfuller;chfuller@beg.priv;Christina Fuller;XLOuv2a15X%dC;Il y a un caractère spécial
Joshua;Murray;GEA_BUT_2;jomurray;jomurray@beg.priv;Joshua Murray;h!5RmN#DmS*$G;Il y a un caractère spécial
Christine;Pham;GMP_BUT_2;chpham;chpham@beg.priv;Christine Pham;kA^6h$Qy5bHf7;Il y a un caractère spécial
Marcia;Schultz;INF_BUT_1;maschultz;maschultz@beg.priv;Marcia Schultz;2KWDq1%G$LMmY;Il y a un caractère spécial
Brenda;Johnson;GEA_BUT_3;brjohnson;brjohnson@beg.priv;Brenda Johnson;JJr%w96sK0*Sf;Il y a un caractère spécial
John;Moore;CHI_BUT_2;jomoore;jomoore@beg.priv;John Moore;u$w#mYjD*kBq%;Il y a un caractère spécial
Laura;Holden;GEA_BUT_1;laholden;laholden@beg.priv;Laura Holden;ELl%x%$9g$sI^;Il y a un caractère spécial
Cindy;Horton;CHI_BUT_2;cihorton;cihorton@beg.priv;Cindy Horton;1hH%goGQw*$^s;Il y a un caractère spécial
James;Lee;GEA_BUT_1;jalee;jalee@beg.priv;James Lee;@Xzi@1rJ$1xuw;Il y a un caractère spécial
Anthony;Wright;GEA_BUT_3;anwright;anwright@beg.priv;Anthony Wright;#U9W70ApD7*%7;Il y a un caractère spécial
Phillip;Smith;QLI_BUT_2;phsmith;phsmith@beg.priv;Phillip Smith;yE%iT^yhmfE^L;Il y a un caractère spécial
Tina;Mccall;INF_BUT_2;timccall;timccall@beg.priv;Tina Mccall;qUR^Dd9lrQz$L;Il y a un caractère spécial
Christopher;Howell;CHI_BUT_2;chhowell;chhowell@beg.priv;Christopher Howell;$DAZVUIkHJL@K;Il y a un caractère spécial
Andrew;Wilson;GMP_BUT_3;anwilson;anwilson@beg.priv;Andrew Wilson;jRo4Sk!28Bxc5;Il y a un caractère spécial
Amanda;King;GTE_BUT_2;amking;amking@beg.priv;Amanda King;o8P0#xMfSC^$i;Il y a un caractère spécial
Steven;Pham;GTE_BUT_3;stpham;stpham@beg.priv;Steven Pham;0gSXbECt@&4WD;Il y a un caractère spécial
Marcus;Davis;GEA_BUT_2;madavis;madavis@beg.priv;Marcus Davis;eFYOh%Vma0tdS;Il y a un caractère spécial
Scott;Burgess;GMP_BUT_2;scburgess;scburgess@beg.priv;Scott Burgess;VFQi%xzBFJJoF;Il y a un caractère spécial
Daniel;Zuniga;CHI_BUT_3;dazuniga;dazuniga@beg.priv;Daniel Zuniga;ebJB!AFtgJUlk;Il y a un caractère spécial
Terri;Ramirez;CHI_BUT_2;teramirez;teramirez@beg.priv;Terri Ramirez;T%M5fnVFykX$L;Il y a un caractère spécial
Marcus;Brown;QLI_BUT_3;mabrown;mabrown@beg.priv;Marcus Brown;Ex$S$0Vqcb6nd;Il y a un caractère spécial
Savannah;Gomez;GTE_BUT_1;sagomez;sagomez@beg.priv;Savannah Gomez;YS5@x#4Y!Qa!R;Il y a un caractère spécial
Justin;Johnston;GMP_BUT_1;jujohnston;jujohnston@beg.priv;Justin Johnston;RHMDVX#n7*^&T;Il y a un caractère spécial
Jesse;Adams;GTE_BUT_3;jeadams;jeadams@beg.priv;Jesse Adams;eU@mYbXKIK&SO;Il y a un caractère spécial
Eric;Waters;CHI_BUT_1;erwaters;erwaters@beg.priv;Eric Waters;M$fRLw6Cu*u58;Il y a un caractère spécial
Johnny;Beasley;INF_BUT_2;jobeasley;jobeasley@beg.priv;Johnny Beasley;t45##CfBEHol7;Il y a un caractère spécial
Jose;West;GMP_BUT_2;jowest;jowest@beg.priv;Jose West;q^^8fR%RmKABf;Il y a un caractère spécial
Kevin;Sanders;INF_BUT_3;kesanders;kesanders@beg.priv;Kevin Sanders;*c9!$K8^#u^QY;Il y a un caractère spécial
Courtney;Barajas;GEA_BUT_2;cobarajas;cobarajas@beg.priv;Courtney Barajas;5iQbwknC^%eh%;Il y a un caractère spécial
Albert;Garza;INF_BUT_1;algarza;algarza@beg.priv;Albert Garza;t$zau&1OQsJ38;Il y a un caractère spécial
Stacy;Smith;INF_BUT_3;stsmith;stsmith@beg.priv;Stacy Smith;CD^*Xe^SzOVz5;Il y a un caractère spécial
Christian;Jacobson;GEA_BUT_2;chjacobson;chjacobson@beg.priv;Christian Jacobson;$1brL#GFKE1mX;Il y a un caractère spécial
Rebekah;Schmidt;GMP_BUT_3;reschmidt;reschmidt@beg.priv;Rebekah Schmidt;7x!a%#Pc526ix;Il y a un caractère spécial
Laura;Gonzales;QLI_BUT_1;lagonzales;lagonzales@beg.priv;Laura Gonzales;2!YlY@yYz9@x9;Il y a un caractère spécial
Victor;Lee;GMP_BUT_2;vilee;vilee@beg.priv;Victor Lee;Q%ivDuKc4XZno;Il y a un caractère spécial
Shannon;Walters;CHI_BUT_1;shwalters;shwalters@beg.priv;Shannon Walters;j6E%iCv6^t6Ug;Il y a un caractère spécial
Danielle;Gonzales;INF_BUT_3;dagonzales;dagonzales@beg.priv;Danielle Gonzales;A^9d%zK$1dPGu;Il y a un caractère spécial
Brandon;Powell;GTE_BUT_1;brpowell;brpowell@beg.priv;Brandon Powell;UDJh*S!E5Nf&9;Il y a un caractère spécial
Michelle;Chandler;INF_BUT_1;michandler;michandler@beg.priv;Michelle Chandler;KT%#Ox%OqrVPo;Il y a un caractère spécial
Adam;Ford;GMP_BUT_2;adford;adford@beg.priv;Adam Ford;ya5^%qupx0&!4;Il y a un caractère spécial
Dennis;Torres;GMP_BUT_3;detorres;detorres@beg.priv;Dennis Torres;QazdApxKff@sL;Il y a un caractère spécial
Christopher;Hayes;CHI_BUT_1;chhayes;chhayes@beg.priv;Christopher Hayes;0olu!nhoubsbp;Il y a un caractère spécial
Gabrielle;Vaughn;INF_BUT_1;gavaughn;gavaughn@beg.priv;Gabrielle Vaughn;ACxFU^7GcqAB*;Il y a un caractère spécial
Nicole;Rodriguez;INF_BUT_2;nirodriguez;nirodriguez@beg.priv;Nicole Rodriguez;ox*x^b1AAPtB$;Il y a un caractère spécial
Amber;Spencer;QLI_BUT_2;amspencer;amspencer@beg.priv;Amber Spencer;TDrZ*b0@N2jtW;Il y a un caractère spécial
Crystal;Neal;QLI_BUT_1;crneal;crneal@beg.priv;Crystal Neal;pABtJjK^!N@UE;Il y a un caractère spécial
Erin;Wilson;GTE_BUT_1;erwilson;erwilson@beg.priv;Erin Wilson;BA$ipSiULdb6R;Il y a un caractère spécial
Hannah;Kaiser;GEA_BUT_1;hakaiser;hakaiser@beg.priv;Hannah Kaiser;NI$$h#HFiNxD!;Il y a un caractère spécial
Sarah;Evans;GMP_BUT_3;saevans;saevans@beg.priv;Sarah Evans;Zfm#zPd#JvUbN;Il y a un caractère spécial
Stephanie;Smith;QLI_BUT_2;stsmith;stsmith@beg.priv;Stephanie Smith;n9&hW#K@&voHS;Il y a un caractère spécial
Mary;Clark;GEA_BUT_2;maclark;maclark@beg.priv;Mary Clark;ykHp*jcyM#%LC;Il y a un caractère spécial
Catherine;Wilson;GMP_BUT_1;cawilson;cawilson@beg.priv;Catherine Wilson;%1&xo!vBcTUUE;Il y a un caractère spécial
Amber;Murray;QLI_BUT_1;ammurray;ammurray@beg.priv;Amber Murray;TbxJASGOlJ#si;Il y a un caractère spécial
Lisa;Luna;GMP_BUT_1;liluna;liluna@beg.priv;Lisa Luna;SzM!9DPAehkk1;Il y a un caractère spécial
Sabrina;Johnson;GEA_BUT_3;sajohnson;sajohnson@beg.priv;Sabrina Johnson;T^AaTO#DP%LaS;Il y a un caractère spécial
Kim;Koch;GTE_BUT_3;kikoch;kikoch@beg.priv;Kim Koch;CGIoxgPl#g%Ft;Il y a un caractère spécial
Anna;Burch;QLI_BUT_2;anburch;anburch@beg.priv;Anna Burch;Ps4I@YNfzs0F6;Il y a un caractère spécial
Sonya;Campos;GTE_BUT_1;socampos;socampos@beg.priv;Sonya Campos;tLsNyz@!HBl#F;Il y a un caractère spécial
Rhonda;White;CHI_BUT_1;rhwhite;rhwhite@beg.priv;Rhonda White;NZPAReFKu#B$z;Il y a un caractère spécial
Debra;Maxwell;INF_BUT_2;demaxwell;demaxwell@beg.priv;Debra Maxwell;6XVAgJ7H%r5V8;Il y a un caractère spécial
Michael;Miller;INF_BUT_1;mimiller;mimiller@beg.priv;Michael Miller;!FniLQ!QGa%O3;Il y a un caractère spécial
Laura;Orr;QLI_BUT_1;laorr;laorr@beg.priv;Laura Orr;#op%$euamCzZz;Il y a un caractère spécial
Gregory;Nash;GMP_BUT_3;grnash;grnash@beg.priv;Gregory Nash;40&c2vnaAvd#l;Il y a un caractère spécial
Jason;Hughes;GEA_BUT_1;jahughes;jahughes@beg.priv;Jason Hughes;R7hadT7UU^ojf;Il y a un caractère spécial
Kimberly;Chandler;INF_BUT_3;kichandler;kichandler@beg.priv;Kimberly Chandler;EYIlCAdqv@Q7T;Il y a un caractère spécial
Caleb;Estrada;GTE_BUT_1;caestrada;caestrada@beg.priv;Caleb Estrada;#aU!Wt$u$kDOk;Il y a un caractère spécial
Stephanie;Osborne;GEA_BUT_1;stosborne;stosborne@beg.priv;Stephanie Osborne;cH43h4K6U$vXD;Il y a un caractère spécial
Jeffrey;Wright;GEA_BUT_3;jewright;jewright@beg.priv;Jeffrey Wright;iv^tlZpBJ&*8&;Il y a un caractère spécial
Jeffrey;Bruce;QLI_BUT_2;jebruce;jebruce@beg.priv;Jeffrey Bruce;E5X8hWR$Z5Zky;Il y a un caractère spécial
Jesse;Barnes;QLI_BUT_2;jebarnes;jebarnes@beg.priv;Jesse Barnes;vbs1vF!D^7Gl#;Il y a un caractère spécial
Tina;Guzman;GEA_BUT_3;tiguzman;tiguzman@beg.priv;Tina Guzman;pzrQ0le9cmP%4;Il y a un caractère spécial
Shawn;Wong;INF_BUT_1;shwong;shwong@beg.priv;Shawn Wong;nOHR!x#A@N1N$;Il y a un caractère spécial
Amanda;Singh;GMP_BUT_1;amsingh;amsingh@beg.priv;Amanda Singh;s^t65P*@pW&rL;Il y a un caractère spécial
Johnny;Ford;QLI_BUT_3;joford;joford@beg.priv;Johnny Ford;QpgZ%04Jpwr&Y;Il y a un caractère spécial
Carrie;Shea;GEA_BUT_1;cashea;cashea@beg.priv;Carrie Shea;TouqLk@q#kTQ4;Il y a un caractère spécial
Mitchell;Martinez;GTE_BUT_3;mimartinez;mimartinez@beg.priv;Mitchell Martinez;x6X^YyAKQo$Jx;Il y a un caractère spécial
Elaine;Washington;QLI_BUT_1;elwashington;elwashington@beg.priv;Elaine Washington;!a5@xNON@U&Hl;Il y a un caractère spécial
Edward;Alvarado;CHI_BUT_2;edalvarado;edalvarado@beg.priv;Edward Alvarado;HZNlv%G!8A^J&;Il y a un caractère spécial
Charles;Turner;GTE_BUT_1;chturner;chturner@beg.priv;Charles Turner;kI4w%f@u@C0E0;Il y a un caractère spécial
Jessica;Mcdonald;GTE_BUT_1;jemcdonald;jemcdonald@beg.priv;Jessica Mcdonald;8z7zgKd*Y$xY7;Il y a un caractère spécial
Matthew;Brown;CHI_BUT_1;mabrown;mabrown@beg.priv;Matthew Brown;S$Fg70@KwphBO;Il y a un caractère spécial
Jeremy;Johnson;GEA_BUT_2;jejohnson;jejohnson@beg.priv;Jeremy Johnson;O^H3nXbRS$@LE;Il y a un caractère spécial
Ana;Hernandez;INF_BUT_2;anhernandez;anhernandez@beg.priv;Ana Hernandez;*Z@Oqw!!lnMx!;Il y a un caractère spécial
Barbara;Padilla;GEA_BUT_1;bapadilla;bapadilla@beg.priv;Barbara Padilla;o4btcOsmZNv%t;Il y a un caractère spécial
William;Cook;INF_BUT_1;wicook;wicook@beg.priv;William Cook;Dcd7R1oX@BX7N;Il y a un caractère spécial
Jennifer;King;QLI_BUT_1;jeking;jeking@beg.priv;Jennifer King;$Zp!b9IsLSKIm;Il y a un caractère spécial
Melanie;Evans;INF_BUT_1;meevans;meevans@beg.priv;Melanie Evans;VY*xI$CWmDM5L;Il y a un caractère spécial
Kevin;Harris;CHI_BUT_1;keharris;keharris@beg.priv;Kevin Harris;^TknAgRXEDxXo;Il y a un caractère spécial
Rhonda;Hamilton;GMP_BUT_2;rhhamilton;rhhamilton@beg.priv;Rhonda Hamilton;NQQW7^gB5sVB6;Il y a un caractère spécial
Christine;Washington;GMP_BUT_1;chwashington;chwashington@beg.priv;Christine Washington;*$kuY%Arb3PH$;Il y a un caractère spécial
Gregory;Schultz;GEA_BUT_2;grschultz;grschultz@beg.priv;Gregory Schultz;rj$6ef$3vmw@K;Il y a un caractère spécial
Jesse;Hooper;CHI_BUT_3;jehooper;jehooper@beg.priv;Jesse Hooper;#tVrgcw3uqHrx;Il y a un caractère spécial
Tracy;Hamilton;GEA_BUT_3;trhamilton;trhamilton@beg.priv;Tracy Hamilton;@ov8cYcjoOMOl;Il y a un caractère spécial
Lori;Boyd;INF_BUT_3;loboyd;loboyd@beg.priv;Lori Boyd;U0jKDE$GV3iuV;Il y a un caractère spécial
Jared;Blankenship;QLI_BUT_3;jablankenship;jablankenship@beg.priv;Jared Blankenship;aFR!a5EQMdHTj;Il y a un caractère spécial
David;Bell;GTE_BUT_1;dabell;dabell@beg.priv;David Bell;6@V&LQN^!!$As;Il y a un caractère spécial
Kristen;Harrington;CHI_BUT_3;krharrington;krharrington@beg.priv;Kristen Harrington;NLCB@51*lqRyH;Il y a un caractère spécial
Miguel;Mccann;QLI_BUT_3;mimccann;mimccann@beg.priv;Miguel Mccann;r&$MCs#dJ9&TY;Il y a un caractère spécial
Kristin;Ortiz;CHI_BUT_2;krortiz;krortiz@beg.priv;Kristin Ortiz;7#I6tMg2LZ!81;Il y a un caractère spécial
Matthew;Higgins;INF_BUT_2;mahiggins;mahiggins@beg.priv;Matthew Higgins;D$XNv6^Q%4ND9;Il y a un caractère spécial
David;Peterson;GTE_BUT_2;dapeterson;dapeterson@beg.priv;David Peterson;n74P^M$@*#J1H;Il y a un caractère spécial
Samantha;Rangel;CHI_BUT_1;sarangel;sarangel@beg.priv;Samantha Rangel;O4cd$NwCJZFwf;Il y a un caractère spécial
Shannon;Clark;CHI_BUT_2;shclark;shclark@beg.priv;Shannon Clark;fWeWt#aJAzONk;Il y a un caractère spécial
Tyler;Flynn;GMP_BUT_2;tyflynn;tyflynn@beg.priv;Tyler Flynn;vNEBHs*&!q1G!;Il y a un caractère spécial
Caitlin;Hernandez;GMP_BUT_3;cahernandez;cahernandez@beg.priv;Caitlin Hernandez;!qbSJRu%Y1UhZ;Il y a un caractère spécial
Joshua;Ware;GMP_BUT_3;joware;joware@beg.priv;Joshua Ware;4lqKB%FDzBx#y;Il y a un caractère spécial
Amanda;Cook;GTE_BUT_2;amcook;amcook@beg.priv;Amanda Cook;FaT5l$6G6AI$6;Il y a un caractère spécial
Jamie;Padilla;INF_BUT_2;japadilla;japadilla@beg.priv;Jamie Padilla;zoen5BfW%%xEq;Il y a un caractère spécial
Renee;Porter;INF_BUT_1;reporter;reporter@beg.priv;Renee Porter;VbOhh3tduAv#%;Il y a un caractère spécial
Amanda;Walker;QLI_BUT_2;amwalker;amwalker@beg.priv;Amanda Walker;3OfCNQm3WS%ip;Il y a un caractère spécial
Sean;Evans;QLI_BUT_3;seevans;seevans@beg.priv;Sean Evans;y5l5!^S^$Dm#K;Il y a un caractère spécial
Travis;Page;GTE_BUT_2;trpage;trpage@beg.priv;Travis Page;8R$!mf%uuBs9x;Il y a un caractère spécial
Scott;Golden;INF_BUT_2;scgolden;scgolden@beg.priv;Scott Golden;95$#XtqaYSkLM;Il y a un caractère spécial
Jeffrey;Torres;INF_BUT_1;jetorres;jetorres@beg.priv;Jeffrey Torres;%X@UWwtbBiCzF;Il y a un caractère spécial
Bruce;Greene;GTE_BUT_2;brgreene;brgreene@beg.priv;Bruce Greene;cr^pz%S9pnYGo;Il y a un caractère spécial
Connie;Hicks;QLI_BUT_2;cohicks;cohicks@beg.priv;Connie Hicks;wquo#!s%qcOwH;Il y a un caractère spécial
Samantha;Wright;GTE_BUT_2;sawright;sawright@beg.priv;Samantha Wright;Sgj@kCV67dWuy;Il y a un caractère spécial
Rose;Phillips;GEA_BUT_2;rophillips;rophillips@beg.priv;Rose Phillips;*265hCmv%vgR2;Il y a un caractère spécial
Lori;Walton;CHI_BUT_3;lowalton;lowalton@beg.priv;Lori Walton;^1#C0OFdczDzS;Il y a un caractère spécial
Travis;Atkinson;GMP_BUT_1;tratkinson;tratkinson@beg.priv;Travis Atkinson;wJPwyi6Nakb#I;Il y a un caractère spécial
Heather;Webster;GEA_BUT_2;hewebster;hewebster@beg.priv;Heather Webster;^i4fqdl0mRMTR;Il y a un caractère spécial
Brenda;Harrison;CHI_BUT_2;brharrison;brharrison@beg.priv;Brenda Harrison;8lH89X#sEUnRu;Il y a un caractère spécial
Rachel;Scott;GEA_BUT_2;rascott;rascott@beg.priv;Rachel Scott;pRIV^!zvukLpO;Il y a un caractère spécial
Scott;Blair;QLI_BUT_3;scblair;scblair@beg.priv;Scott Blair;Oh0S%kctqcNzs;Il y a un caractère spécial
Anita;Griffith;QLI_BUT_1;angriffith;angriffith@beg.priv;Anita Griffith;Df@FWIC%&PLRg;Il y a un caractère spécial
Zachary;Rodriguez;INF_BUT_3;zarodriguez;zarodriguez@beg.priv;Zachary Rodriguez;SUV#2Yd7L68ov;Il y a un caractère spécial
Keith;Watkins;QLI_BUT_2;kewatkins;kewatkins@beg.priv;Keith Watkins;hVVL$OfwtL6AE;Il y a un caractère spécial
Tiffany;Miller;GEA_BUT_1;timiller;timiller@beg.priv;Tiffany Miller;F@43KkcNfnd%s;Il y a un caractère spécial
Emily;Kelly;QLI_BUT_3;emkelly;emkelly@beg.priv;Emily Kelly;%J!JNg@eB#roG;Il y a un caractère spécial
Jennifer;Taylor;INF_BUT_1;jetaylor;jetaylor@beg.priv;Jennifer Taylor;nJ0z1q$E^h&n*;Il y a un caractère spécial
Michael;Taylor;CHI_BUT_2;mitaylor;mitaylor@beg.priv;Michael Taylor;^Y5!uos^fyyi%;Il y a un caractère spécial
Jesse;Clark;QLI_BUT_2;jeclark;jeclark@beg.priv;Jesse Clark;mtAsXbCXgcl$u;Il y a un caractère spécial
Jeffrey;Jackson;QLI_BUT_3;jejackson;jejackson@beg.priv;Jeffrey Jackson;9$H!DrF^ESnue;Il y a un caractère spécial
Kenneth;Williams;CHI_BUT_1;kewilliams;kewilliams@beg.priv;Kenneth Williams;bf9eHox@GmTQb;Il y a un caractère spécial
John;Patel;INF_BUT_3;jopatel;jopatel@beg.priv;John Patel;c*qdnGpl%$ouu;Il y a un caractère spécial
Jonathan;Guzman;GTE_BUT_2;joguzman;joguzman@beg.priv;Jonathan Guzman;0XIkpw2dK04%w;Il y a un caractère spécial
Mark;Fletcher;GTE_BUT_2;mafletcher;mafletcher@beg.priv;Mark Fletcher;f8^#&7g%*10gO;Il y a un caractère spécial
Adam;Alexander;INF_BUT_2;adalexander;adalexander@beg.priv;Adam Alexander;KwDg!!ddb@1$T;Il y a un caractère spécial
Whitney;Dominguez;CHI_BUT_1;whdominguez;whdominguez@beg.priv;Whitney Dominguez;^GkWj1DJdtG&f;Il y a un caractère spécial
Melissa;Lopez;GMP_BUT_1;melopez;melopez@beg.priv;Melissa Lopez;F7eibQTc!LJ#S;Il y a un caractère spécial
Chloe;Soto;GMP_BUT_2;chsoto;chsoto@beg.priv;Chloe Soto;u*Uq%&e$p2Dm1;Il y a un caractère spécial
Crystal;Bell;CHI_BUT_3;crbell;crbell@beg.priv;Crystal Bell;cW7K#4&KeRxtV;Il y a un caractère spécial
Julie;Collins;INF_BUT_3;jucollins;jucollins@beg.priv;Julie Collins;GwXh%n%x3IeN4;Il y a un caractère spécial
Heather;Rodriguez;GMP_BUT_1;herodriguez;herodriguez@beg.priv;Heather Rodriguez;l&WMX#*ht5$R^;Il y a un caractère spécial
Tyler;Baker;CHI_BUT_1;tybaker;tybaker@beg.priv;Tyler Baker;#tllTCCXwSonO;Il y a un caractère spécial
Ronnie;Cox;GEA_BUT_1;rocox;rocox@beg.priv;Ronnie Cox;3jK*##Q4AAS3F;Il y a un caractère spécial
Steven;Cobb;GMP_BUT_2;stcobb;stcobb@beg.priv;Steven Cobb;KLn%LuVXEKy4c;Il y a un caractère spécial
Christian;Skinner;INF_BUT_2;chskinner;chskinner@beg.priv;Christian Skinner;h$U1kil7vQjc6;Il y a un caractère spécial
Charles;Pham;INF_BUT_1;chpham;chpham@beg.priv;Charles Pham;7$W5!o@tFe$as;Il y a un caractère spécial
Ashley;Mcfarland;CHI_BUT_3;asmcfarland;asmcfarland@beg.priv;Ashley Mcfarland;5^t!eXZCcE6MO;Il y a un caractère spécial
Craig;Garcia;QLI_BUT_1;crgarcia;crgarcia@beg.priv;Craig Garcia;zI%OBB&T8q@1e;Il y a un caractère spécial
Patricia;Steele;CHI_BUT_2;pasteele;pasteele@beg.priv;Patricia Steele;Aiqoejm@3G55*;Il y a un caractère spécial
Ashley;Leonard;INF_BUT_2;asleonard;asleonard@beg.priv;Ashley Leonard;9uK#Azo#bqF$b;Il y a un caractère spécial
Andrea;Kelley;GTE_BUT_1;ankelley;ankelley@beg.priv;Andrea Kelley;9mVzI!KAzCqaG;Il y a un caractère spécial
James;Bell;INF_BUT_3;jabell;jabell@beg.priv;James Bell;5Isg59op!$QCR;Il y a un caractère spécial
Rachel;King;QLI_BUT_2;raking;raking@beg.priv;Rachel King;$%axqI7SnD$dm;Il y a un caractère spécial
Philip;Ritter;INF_BUT_1;phritter;phritter@beg.priv;Philip Ritter;oOL$S^142uAGS;Il y a un caractère spécial
Antonio;Santos;CHI_BUT_1;ansantos;ansantos@beg.priv;Antonio Santos;#T^oC3QBVM0%w;Il y a un caractère spécial
Thomas;Baker;GMP_BUT_3;thbaker;thbaker@beg.priv;Thomas Baker;HnV0Q2l4o#%ee;Il y a un caractère spécial
Patty;Norris;GMP_BUT_2;panorris;panorris@beg.priv;Patty Norris;oEr!oyw@OMkEn;Il y a un caractère spécial
Scott;Vega;QLI_BUT_3;scvega;scvega@beg.priv;Scott Vega;3aDD$x5!MYVMk;Il y a un caractère spécial
Willie;Barker;GEA_BUT_2;wibarker;wibarker@beg.priv;Willie Barker;an!8Q8R%NQ3Fr;Il y a un caractère spécial
Jonathan;Williams;INF_BUT_1;jowilliams;jowilliams@beg.priv;Jonathan Williams;@zZ%WbrjoMZXT;Il y a un caractère spécial
Melanie;Mckenzie;GTE_BUT_1;memckenzie;memckenzie@beg.priv;Melanie Mckenzie;pZ!p&^8^KTFkT;Il y a un caractère spécial
David;Chase;GTE_BUT_2;dachase;dachase@beg.priv;David Chase;@$p#tIbjg$piS;Il y a un caractère spécial
Jim;Brooks;GTE_BUT_2;jibrooks;jibrooks@beg.priv;Jim Brooks;7!CO%3AEsG2yI;Il y a un caractère spécial
Robert;Wood;CHI_BUT_3;rowood;rowood@beg.priv;Robert Wood;tz4xCO$LrRAlK;Il y a un caractère spécial
George;Glover;QLI_BUT_1;geglover;geglover@beg.priv;George Glover;VZ6SeU@#^SM1q;Il y a un caractère spécial
Shirley;Greene;GEA_BUT_3;shgreene;shgreene@beg.priv;Shirley Greene;d%NO8sVsaB7C!;Il y a un caractère spécial
Kyle;James;INF_BUT_2;kyjames;kyjames@beg.priv;Kyle James;sx2%R^%gTZrPx;Il y a un caractère spécial
Jason;Braun;GTE_BUT_1;jabraun;jabraun@beg.priv;Jason Braun;tzZk^pPLm2#P3;Il y a un caractère spécial
Alexander;Myers;GTE_BUT_3;almyers;almyers@beg.priv;Alexander Myers;7BEpB4D!1$Y3W;Il y a un caractère spécial
Thomas;Cooper;GTE_BUT_2;thcooper;thcooper@beg.priv;Thomas Cooper;2SXM&pR%%LJg1;Il y a un caractère spécial
Rachel;Flores;INF_BUT_3;raflores;raflores@beg.priv;Rachel Flores;1O^T4D3YWZn2e;Il y a un caractère spécial
Jessica;Henderson;INF_BUT_2;jehenderson;jehenderson@beg.priv;Jessica Henderson;SdS3#uX#ACjYf;Il y a un caractère spécial
Brittany;Adkins;GMP_BUT_1;bradkins;bradkins@beg.priv;Brittany Adkins;bJva4h55%SjFd;Il y a un caractère spécial
Matthew;Graham;GEA_BUT_2;magraham;magraham@beg.priv;Matthew Graham;%asFFKhimBJbE;Il y a un caractère spécial
April;Taylor;CHI_BUT_1;aptaylor;aptaylor@beg.priv;April Taylor;LZiD!y@L0DEHK;Il y a un caractère spécial
Joel;Chang;INF_BUT_2;jochang;jochang@beg.priv;Joel Chang;xekO%%1Vv^zyt;Il y a un caractère spécial
Jeffrey;Smith;INF_BUT_1;jesmith;jesmith@beg.priv;Jeffrey Smith;Zexqcg0V@@j@U;Il y a un caractère spécial
William;Hayden;QLI_BUT_3;wihayden;wihayden@beg.priv;William Hayden;@s2Au#SRDg^NW;Il y a un caractère spécial
Christina;Gilbert;GMP_BUT_3;chgilbert;chgilbert@beg.priv;Christina Gilbert;DHByMmt#v#T9x;Il y a un caractère spécial
